s,p,a,,
0.035,0.7243,5.716,,
0.03,0.547078,8.083,,
0.025,0.39297,10.77,,
0.02,0.269684,13.01,,
0.015,0.161812,14.46,,
0.01,0.06935,14.46,,
0.005,-0.05394,13.52,,
0,-0.11558,11.61,,
-0.005,-0.1387,9.304,,
-0.01,-0.13099,7.233,,
-0.015,-0.07705,5.713,,
-0.02,-0.03853,4.637,,
-0.025,0.03082,3.793,,
-0.03,0.100169,3.145,,
-0.035,0.169515,2.687,,
