s,p,a,,
0.06,1.23,0.9,,
0.05,1.03,1.2,,
0.04,0.89,1.7,,
0.03,0.76,2.3,,
0.02,0.59,3.0,,
0.01,0.42,3.8,,
0,0.29,4.4,,
-0.01,0.18,4.9,,
-0.02,0.05,5.0,,
-0.03,-0.07,4.8,,
-0.04,-0.12,4.3,,
-0.05,-0.14,3.7,,
-0.06,-0.15,3.1,,
