s,p,a,,
0.035,1.95103,4.7,,
0.03,1.918622,7.37,,
0.025,1.949438,10.72,,
0.02,2.041904,13.11,,
0.015,2.13437,12.86,,
0.01,2.404054,9.963,,
0.005,3.020478,6.701,,
0,3.913293,7.706,,
-0.005,4.343943,12.09,,
-0.01,4.572608,15.93,,
-0.015,4.711303,15.87,,
-0.02,4.757536,12.05,,
-0.025,4.865408,7.608,,
-0.03,4.957875,4.385,,
-0.035,5.09657,2.671,,
