s,p,a,,
0.06,1.94,1.0,,
0.05,2.00,1.2,,
0.04,2.13,1.6,,
0.03,2.31,1.8,,
0.02,2.57,2.1,,
0.01,2.96,2.3,,
0,3.36,2.6,,
-0.01,3.83,3.2,,
-0.02,4.22,3.8,,
-0.03,4.46,4.1,,
-0.04,4.67,4.0,,
-0.05,4.80,3.5,,
-0.06,4.55,2.8,,
