s,p,a,,
0.035,-3.40574,1.863,,
0.03,-3.30558,2.561,,
0.025,-3.22852,3.248,,
0.02,-3.12065,4.376,,
0.015,-2.99737,5.498,,
0.01,-2.92031,6.522,,
0.005,-2.7585,7.194,,
0,-2.63522,7.349,,
-0.005,-2.4657,7.1,,
-0.01,-2.32678,6.267,,
-0.015,-2.14978,5.195,,
-0.02,-2.01879,4.156,,
-0.025,-1.90321,3.249,,
-0.03,-1.73369,2.579,,
-0.035,-1.62582,2.041,,
