s,p,a,,
0.06,1.57,1.3,,
0.05,1.54,1.8,,
0.04,1.49,2.5,,
0.03,1.40,3.2,,
0.02,1.36,3.6,,
0.01,1.11,3.5,,
0,0.69,3.5,,
-0.01,-0.18,3.7,,
-0.02,-0.63,5.1,,
-0.03,-0.79,6.1,,
-0.04,-0.85,6.1,,
-0.05,-0.85,5.2,,
-0.06,-0.85,4.0,,
